ENSMUST00000000001	ENSMUSG00000000001	Gnai3
ENSMUST00000000394	ENSMUSG00000000384	Tbrg4
ENSMUST00000000395	ENSMUSG00000000385	Tmprss2
ENSMUST00000000402	ENSMUSG00000000392	Fap
ENSMUST00000000412	ENSMUSG00000000402	Egfl6
ENSMUST00000000430	ENSMUSG00000000420	Galnt1
ENSMUST00000000445	ENSMUSG00000000435	Myf5
ENSMUST00000000449	ENSMUSG00000000439	Mkrn2
ENSMUST00000000450	ENSMUSG00000000440	Pparg
ENSMUST00000000451	ENSMUSG00000000441	Raf1
ENSMUST00000000466	ENSMUSG00000028494	Plin2
ENSMUST00000000476	ENSMUSG00000029231	Pdgfra
ENSMUST00000000500	ENSMUSG00000000489	Pdgfb
ENSMUST00000000505	ENSMUSG00000029730	Mcm7
ENSMUST00000000514	ENSMUSG00000026315	Serpinb8
ENSMUST00000000542	ENSMUSG00000000530	Acvrl1
ENSMUST00000000543	ENSMUSG00000000531	Grasp
ENSMUST00000000572	ENSMUSG00000000560	Gabra2
ENSMUST00000000573	ENSMUSG00000074340	Ovgp1
ENSMUST00000000574	ENSMUSG00000000562	Adora3
ENSMUST00000000579	ENSMUSG00000000567	Sox9
ENSMUST00000000590	ENSMUSG00000032050	Rdx
ENSMUST00000000594	ENSMUSG00000000581	C1d
ENSMUST00000000608	ENSMUSG00000000594	Gm2a
ENSMUST00000000619	ENSMUSG00000000605	Clcn4-2
ENSMUST00000000631	ENSMUSG00000000617	Grm6
ENSMUST00000000632	ENSMUSG00000044807	Zfp354c
ENSMUST00000000641	ENSMUSG00000000627	Sema4f
ENSMUST00000000642	ENSMUSG00000000628	Hk2
ENSMUST00000000645	ENSMUSG00000000631	Myo18a
ENSMUST00000000646	ENSMUSG00000000632	Sez6
ENSMUST00000000674	ENSMUSG00000029534	St7
ENSMUST00000000687	ENSMUSG00000000673	Haao
ENSMUST00000000696	ENSMUSG00000000682	Cd52
ENSMUST00000000704	ENSMUSG00000000690	Hoxb6
ENSMUST00000000707	ENSMUSG00000000693	Loxl3
ENSMUST00000000717	ENSMUSG00000000701	Tcl1b5
ENSMUST00000000718	ENSMUSG00000079007	Tcl1b4
ENSMUST00000000724	ENSMUSG00000000708	Kat2b
ENSMUST00000000727	ENSMUSG00000000711	Rab5b
ENSMUST00000000746	ENSMUSG00000000730	Dnmt3l
ENSMUST00000000755	ENSMUSG00000000739	Sult5a1
ENSMUST00000000756	ENSMUSG00000000740	Rpl13
ENSMUST00000000759	ENSMUSG00000000743	Chmp1a
ENSMUST00000000767	ENSMUSG00000000751	Rpa1
ENSMUST00000000769	ENSMUSG00000000753	Serpinf1
ENSMUST00000000776	ENSMUSG00000000759	Tubgcp3
ENSMUST00000000783	ENSMUSG00000000766	Oprm1
ENSMUST00000000793	ENSMUSG00000000776	Polr3d
ENSMUST00000000804	ENSMUSG00000000787	Ddx3x
ENSMUST00000000808	ENSMUSG00000000791	Il12rb1
ENSMUST00000000809	ENSMUSG00000000792	Slc5a5
ENSMUST00000000821	ENSMUSG00000000804	Usp32
ENSMUST00000000828	ENSMUSG00000000811	Txnrd3
ENSMUST00000000834	ENSMUSG00000000817	Fasl
ENSMUST00000000881	ENSMUSG00000000861	Bcl11a
ENSMUST00000000889	ENSMUSG00000000869	Il4
ENSMUST00000000894	ENSMUSG00000027490	E2f1
ENSMUST00000000895	ENSMUSG00000027489	Necab3
ENSMUST00000000901	ENSMUSG00000000881	Dlg3
ENSMUST00000000904	ENSMUSG00000000884	Gnb1l
ENSMUST00000000910	ENSMUSG00000000889	Dbh
ENSMUST00000000924	ENSMUSG00000000901	Mmp11
ENSMUST00000000925	ENSMUSG00000000902	Smarcb1
ENSMUST00000000926	ENSMUSG00000000903	Vpreb3
ENSMUST00000000939	ENSMUSG00000000915	Hip1r
ENSMUST00000000940	ENSMUSG00000000916	Nsun5
ENSMUST00000000958	ENSMUSG00000000934	Top1mt
ENSMUST00000000964	ENSMUSG00000029844	Hoxa1
ENSMUST00000000984	ENSMUSG00000000958	Slc7a7
ENSMUST00000000985	ENSMUSG00000000959	Oxa1l
ENSMUST00000001002	ENSMUSG00000000976	Heatr6
ENSMUST00000001008	ENSMUSG00000000982	Ccl3
ENSMUST00000001009	ENSMUSG00000000983	Wfdc18
ENSMUST00000001027	ENSMUSG00000063558	Aox1
ENSMUST00000001036	ENSMUSG00000032175	Tyk2
ENSMUST00000001040	ENSMUSG00000001014	Icam4
ENSMUST00000001042	ENSMUSG00000001016	Ilf2
ENSMUST00000001043	ENSMUSG00000001017	Chtop
ENSMUST00000001046	ENSMUSG00000001020	S100a4
ENSMUST00000001047	ENSMUSG00000001021	S100a3
ENSMUST00000001049	ENSMUSG00000001023	S100a5
ENSMUST00000001051	ENSMUSG00000001025	S100a6
ENSMUST00000001055	ENSMUSG00000001029	Icam2
ENSMUST00000001063	ENSMUSG00000001036	Epn2
ENSMUST00000001079	ENSMUSG00000001052	Sec24b
ENSMUST00000001080	ENSMUSG00000001053	N4bp3
ENSMUST00000001081	ENSMUSG00000001054	Rmnd5b
ENSMUST00000001083	ENSMUSG00000001056	Nhp2
ENSMUST00000001092	ENSMUSG00000001065	Zfp276
ENSMUST00000001108	ENSMUSG00000029106	Add1
ENSMUST00000001109	ENSMUSG00000001082	Mfsd10
ENSMUST00000001112	ENSMUSG00000052783	Grk4
ENSMUST00000001115	ENSMUSG00000074886	Grk6
ENSMUST00000001116	ENSMUSG00000001089	Luzp1
ENSMUST00000001122	ENSMUSG00000001095	Slc13a2
ENSMUST00000001125	ENSMUSG00000001098	Kctd10
ENSMUST00000001126	ENSMUSG00000020829	Slc46a1
ENSMUST00000001127	ENSMUSG00000001100	Poldip2
ENSMUST00000001130	ENSMUSG00000001103	Sebox
ENSMUST00000001147	ENSMUSG00000001119	Col6a1
ENSMUST00000001148	ENSMUSG00000001120	Pcbp3
ENSMUST00000001155	ENSMUSG00000001127	Araf
ENSMUST00000001156	ENSMUSG00000001128	Cfp
ENSMUST00000001162	ENSMUSG00000001134	Uxt
ENSMUST00000001166	ENSMUSG00000001138	Cnnm3
ENSMUST00000001171	ENSMUSG00000001143	Lman2l
ENSMUST00000001172	ENSMUSG00000079610	Ankrd39
ENSMUST00000001179	ENSMUSG00000001151	Pcnt
ENSMUST00000001181	ENSMUSG00000020241	Col6a2
ENSMUST00000001184	ENSMUSG00000001156	Mxd1
ENSMUST00000001185	ENSMUSG00000001157	Gmcl1
ENSMUST00000001186	ENSMUSG00000001158	Snrnp27
ENSMUST00000001187	ENSMUSG00000029994	Anxa4
ENSMUST00000001202	ENSMUSG00000001173	Ocrl
ENSMUST00000001204	ENSMUSG00000001175	Calm1
ENSMUST00000001226	ENSMUSG00000022436	Sh3bp1
ENSMUST00000001240	ENSMUSG00000001211	Agpat3
ENSMUST00000001242	ENSMUSG00000053329	D10Jhu81e
ENSMUST00000001247	ENSMUSG00000029130	Rnf32
ENSMUST00000001253	ENSMUSG00000020651	Slc26a4
ENSMUST00000001254	ENSMUSG00000001225	Slc26a3
ENSMUST00000001256	ENSMUSG00000001227	Sema6b
ENSMUST00000001258	ENSMUSG00000001228	Uhrf1
ENSMUST00000001279	ENSMUSG00000001247	Lsr
ENSMUST00000001280	ENSMUSG00000001248	Gramd1a
ENSMUST00000001284	ENSMUSG00000026641	Usf1
ENSMUST00000001304	ENSMUSG00000001270	Ckb
ENSMUST00000001319	ENSMUSG00000001300	Efnb2
ENSMUST00000001326	ENSMUSG00000001280	Sp1
ENSMUST00000001327	ENSMUSG00000001281	Itgb7
ENSMUST00000001331	ENSMUSG00000001285	Myg1
ENSMUST00000001339	ENSMUSG00000001305	Rrp15
ENSMUST00000001365	ENSMUSG00000028811	Yars
ENSMUST00000001384	ENSMUSG00000001349	Cnn1
ENSMUST00000001402	ENSMUSG00000001366	Fbxo9
ENSMUST00000001412	ENSMUSG00000001376	Ccdc132
ENSMUST00000001415	ENSMUSG00000001379	Apbb3
ENSMUST00000001416	ENSMUSG00000001380	Hars
ENSMUST00000001419	ENSMUSG00000001383	Zmat2
ENSMUST00000001439	ENSMUSG00000001403	Ube2c
ENSMUST00000001451	ENSMUSG00000001415	Smg5
ENSMUST00000001452	ENSMUSG00000001416	Cct3
ENSMUST00000001456	ENSMUSG00000001420	Tmem79
ENSMUST00000001460	ENSMUSG00000001424	Snd1
ENSMUST00000001479	ENSMUSG00000001440	Kpnb1
ENSMUST00000001480	ENSMUSG00000001441	Npepps
ENSMUST00000001484	ENSMUSG00000001444	Tbx21
ENSMUST00000001485	ENSMUSG00000001445	Mrpl10
ENSMUST00000001497	ENSMUSG00000022219	Cideb
ENSMUST00000001507	ENSMUSG00000001467	Cyp51
ENSMUST00000001513	ENSMUSG00000001473	Tubb6
ENSMUST00000001520	ENSMUSG00000031967	Afg3l1
ENSMUST00000001522	ENSMUSG00000001482	Def8
ENSMUST00000001534	ENSMUSG00000001494	Sost
ENSMUST00000001536	ENSMUSG00000001496	Nkx2-1
ENSMUST00000001544	ENSMUSG00000023186	Vwa5a
ENSMUST00000001548	ENSMUSG00000001507	Itga3
ENSMUST00000001559	ENSMUSG00000001518	Itfg2
ENSMUST00000001561	ENSMUSG00000001520	Nrip2
ENSMUST00000001562	ENSMUSG00000001521	Tulp3
ENSMUST00000001565	ENSMUSG00000001524	Gtf2h4
ENSMUST00000001566	ENSMUSG00000001525	Tubb5
ENSMUST00000001569	ENSMUSG00000059714	Flot1
ENSMUST00000001583	ENSMUSG00000001542	Ell2
ENSMUST00000001595	ENSMUSG00000001555	Fkbp10
ENSMUST00000001599	ENSMUSG00000001558	Klhl10
ENSMUST00000001619	ENSMUSG00000001576	Ergic1
ENSMUST00000001620	ENSMUSG00000027680	Fxr1
ENSMUST00000001626	ENSMUSG00000001583	Tnk1
ENSMUST00000001631	ENSMUSG00000001588	Acap1
ENSMUST00000001652	ENSMUSG00000021070	Bdkrb2
ENSMUST00000001667	ENSMUSG00000001622	Csn3
ENSMUST00000001675	ENSMUSG00000001630	Stk38l
ENSMUST00000001699	ENSMUSG00000022484	Hoxc10
ENSMUST00000001700	ENSMUSG00000001655	Hoxc13
ENSMUST00000001703	ENSMUSG00000001657	Hoxc8
ENSMUST00000001709	ENSMUSG00000022485	Hoxc5
ENSMUST00000001711	ENSMUSG00000001661	Hoxc6
ENSMUST00000001712	ENSMUSG00000020196	Cabin1
ENSMUST00000001713	ENSMUSG00000001663	Gstt1
ENSMUST00000001715	ENSMUSG00000001665	Gstt3
ENSMUST00000001716	ENSMUSG00000001666	Ddt
ENSMUST00000001720	ENSMUSG00000001670	Tat
ENSMUST00000001722	ENSMUSG00000001672	Marveld3
ENSMUST00000001724	ENSMUSG00000001674	Ddx18
ENSMUST00000001757	ENSMUSG00000001707	Eef1e1
ENSMUST00000001780	ENSMUSG00000001729	Akt1
ENSMUST00000001790	ENSMUSG00000001739	Cldn15
ENSMUST00000001792	ENSMUSG00000001741	Il16
ENSMUST00000001801	ENSMUSG00000001750	Tcirg1
ENSMUST00000001802	ENSMUSG00000001751	Naglu
ENSMUST00000001806	ENSMUSG00000001755	Coasy
ENSMUST00000001809	ENSMUSG00000022283	Pabpc1
ENSMUST00000001812	ENSMUSG00000001761	Smo
ENSMUST00000001818	ENSMUSG00000001767	Crnkl1
ENSMUST00000001824	ENSMUSG00000001773	Folh1
ENSMUST00000001825	ENSMUSG00000001774	Chordc1
ENSMUST00000001826	ENSMUSG00000043943	Naalad2
ENSMUST00000001834	ENSMUSG00000001783	D10Wsu52e
ENSMUST00000001836	ENSMUSG00000001785	Pwp1
ENSMUST00000001837	ENSMUSG00000001786	Fbxo7
ENSMUST00000001845	ENSMUSG00000001794	Capns1
ENSMUST00000001854	ENSMUSG00000030495	Slc7a10
ENSMUST00000001867	ENSMUSG00000001815	Evx2
ENSMUST00000001872	ENSMUSG00000001819	Hoxd13
ENSMUST00000001878	ENSMUSG00000001823	Hoxd12
ENSMUST00000001882	ENSMUSG00000001827	Folr1
ENSMUST00000001884	ENSMUSG00000001829	Clpb
ENSMUST00000001900	ENSMUSG00000001844	Zdhhc4
ENSMUST00000001920	ENSMUSG00000001864	Aif1l
ENSMUST00000001921	ENSMUSG00000001865	Cpa3
ENSMUST00000001927	ENSMUSG00000001870	Ltbp1
ENSMUST00000001950	ENSMUSG00000025139	Tollip
ENSMUST00000001963	ENSMUSG00000020681	Ace
ENSMUST00000001964	ENSMUSG00000020681	Ace
ENSMUST00000001965	ENSMUSG00000001901	Kcnh6
ENSMUST00000001974	ENSMUSG00000001909	Trmt1
ENSMUST00000001975	ENSMUSG00000001910	Nacc1
ENSMUST00000001984	ENSMUSG00000007209	Ceacam9
ENSMUST00000001989	ENSMUSG00000001924	Uba1
ENSMUST00000001995	ENSMUSG00000001930	Vwf
ENSMUST00000002007	ENSMUSG00000001942	Siae
ENSMUST00000002008	ENSMUSG00000001943	Vsig2
ENSMUST00000002011	ENSMUSG00000001946	Esam
ENSMUST00000002013	ENSMUSG00000001948	Spa17
ENSMUST00000002025	ENSMUSG00000025519	Tktl2
ENSMUST00000002029	ENSMUSG00000001964	Emd
ENSMUST00000002044	ENSMUSG00000020700	Map3k3
ENSMUST00000002048	ENSMUSG00000001983	Taco1
ENSMUST00000002053	ENSMUSG00000001988	Npas1
ENSMUST00000002064	ENSMUSG00000001999	Blvra
ENSMUST00000002073	ENSMUSG00000002020	Ltbp2
ENSMUST00000002079	ENSMUSG00000031385	Plxnb3
ENSMUST00000002080	ENSMUSG00000002006	Pdzd4
ENSMUST00000002081	ENSMUSG00000002007	Srpk3
ENSMUST00000002084	ENSMUSG00000031378	Abcd1
ENSMUST00000002087	ENSMUSG00000002012	Pnck
ENSMUST00000002090	ENSMUSG00000002014	Ssr4
ENSMUST00000002091	ENSMUSG00000002015	Bcap31
ENSMUST00000002095	ENSMUSG00000002028	Kmt2a
ENSMUST00000002099	ENSMUSG00000002031	Ift46
ENSMUST00000002100	ENSMUSG00000002032	Tmem25
ENSMUST00000002101	ENSMUSG00000002033	Cd3g
ENSMUST00000002112	ENSMUSG00000002043	Trappc6a
ENSMUST00000002121	ENSMUSG00000002052	Supt6
ENSMUST00000002127	ENSMUSG00000002058	Unc119
ENSMUST00000002128	ENSMUSG00000002059	Rab34
ENSMUST00000002133	ENSMUSG00000002064	Sdf2
ENSMUST00000002145	ENSMUSG00000002076	Hsf2bp
ENSMUST00000002152	ENSMUSG00000002083	Bbc3
ENSMUST00000002171	ENSMUSG00000002102	Psmc3
ENSMUST00000002172	ENSMUSG00000002103	Acp2
ENSMUST00000002176	ENSMUSG00000002107	Celf2
ENSMUST00000002177	ENSMUSG00000002108	Nr1h3
ENSMUST00000002180	ENSMUSG00000002111	LOC100862024
ENSMUST00000002198	ENSMUSG00000002129	Sf3a1
ENSMUST00000002259	ENSMUSG00000002190	Clgn
ENSMUST00000002274	ENSMUSG00000002204	Napsa
ENSMUST00000002275	ENSMUSG00000002205	Vrk3
ENSMUST00000002280	ENSMUSG00000002210	Smg9
ENSMUST00000002284	ENSMUSG00000046223	Plaur
ENSMUST00000002289	ENSMUSG00000022111	Uchl3
ENSMUST00000002291	ENSMUSG00000002221	Paxip1
ENSMUST00000002292	ENSMUSG00000002222	Rmnd5a
ENSMUST00000002297	ENSMUSG00000002227	Mov10
ENSMUST00000002298	ENSMUSG00000002228	Ppm1j
ENSMUST00000002303	ENSMUSG00000002233	Rhoc
ENSMUST00000002305	ENSMUSG00000042599	Jhdm1d
ENSMUST00000002310	ENSMUSG00000002240	4930432K09Rik
ENSMUST00000002318	ENSMUSG00000024220	Zfp523
ENSMUST00000002320	ENSMUSG00000002250	1810013A23Rik
ENSMUST00000002327	ENSMUSG00000002257	Def6
ENSMUST00000002336	ENSMUSG00000002266	Zim1
ENSMUST00000002344	ENSMUSG00000002274	Metrn
ENSMUST00000002350	ENSMUSG00000002280	Narfl
ENSMUST00000002368	ENSMUSG00000002297	Dbf4
ENSMUST00000002379	ENSMUSG00000002308	Cd320
ENSMUST00000002389	ENSMUSG00000022218	Tgm1
ENSMUST00000002391	ENSMUSG00000002320	Tm9sf1
ENSMUST00000002395	ENSMUSG00000002324	Rec8
ENSMUST00000002397	ENSMUSG00000002326	Gmpr2
ENSMUST00000002398	ENSMUSG00000022220	Adcy4
ENSMUST00000002400	ENSMUSG00000002329	Mdp1
ENSMUST00000002403	ENSMUSG00000002332	Dhrs1
ENSMUST00000002412	ENSMUSG00000002341	Ncan
ENSMUST00000002413	ENSMUSG00000002342	Tmem161a
ENSMUST00000002444	ENSMUSG00000024206	Rfx2
ENSMUST00000002445	ENSMUSG00000002372	Ranbp3
ENSMUST00000002452	ENSMUSG00000002379	Ndufa11
ENSMUST00000002456	ENSMUSG00000020622	Nt5c1b
ENSMUST00000002457	ENSMUSG00000002384	Bmp8b
ENSMUST00000002466	ENSMUSG00000002393	Nr2f6
ENSMUST00000002469	ENSMUSG00000002396	Ocel1
ENSMUST00000002473	ENSMUSG00000031820	Babam1
ENSMUST00000002487	ENSMUSG00000002413	Braf
ENSMUST00000002490	ENSMUSG00000002416	Ndufb2
ENSMUST00000002495	ENSMUSG00000041420	Meis3
ENSMUST00000002502	ENSMUSG00000002428	Hltf
ENSMUST00000002518	ENSMUSG00000054452	Aes
ENSMUST00000002529	ENSMUSG00000002455	Prpf6
ENSMUST00000002532	ENSMUSG00000002458	Rgs19
ENSMUST00000002533	ENSMUSG00000002459	Rgs20
ENSMUST00000002549	ENSMUSG00000002475	Abhd3
ENSMUST00000002551	ENSMUSG00000002477	Snrpd1
ENSMUST00000002572	ENSMUSG00000002504	Slc9a3r2
ENSMUST00000002588	ENSMUSG00000002489	Tiam1
ENSMUST00000002599	ENSMUSG00000002524	Puf60
ENSMUST00000002603	ENSMUSG00000022568	Scrib
ENSMUST00000002625	ENSMUSG00000002550	Uck1
ENSMUST00000002640	ENSMUSG00000002565	Scin
ENSMUST00000002655	ENSMUSG00000002580	Mien1
ENSMUST00000002663	ENSMUSG00000002588	Pon1
ENSMUST00000002677	ENSMUSG00000002602	Axl
ENSMUST00000002678	ENSMUSG00000002603	Tgfb1
ENSMUST00000002683	ENSMUSG00000002608	Ccdc97
ENSMUST00000002699	ENSMUSG00000024045	Akap8
ENSMUST00000002708	ENSMUSG00000002633	Shh
ENSMUST00000002710	ENSMUSG00000002635	Pdcd2l
ENSMUST00000002733	ENSMUSG00000002658	Gtf2f1
ENSMUST00000002735	ENSMUSG00000002660	Clpp
ENSMUST00000002737	ENSMUSG00000002661	Alkbh7
ENSMUST00000002740	ENSMUSG00000002664	Pspn
ENSMUST00000002756	ENSMUSG00000002679	Med6
ENSMUST00000002757	ENSMUSG00000091803	Cox16
ENSMUST00000002765	ENSMUSG00000002688	Prkd1
ENSMUST00000002790	ENSMUSG00000002718	Cse1l
ENSMUST00000002805	ENSMUSG00000002728	Naa20
ENSMUST00000002808	ENSMUSG00000002731	Prkra
ENSMUST00000002809	ENSMUSG00000002732	Fkbp7
ENSMUST00000002817	ENSMUSG00000057897	Camk2b
ENSMUST00000002818	ENSMUSG00000002741	Ykt6
ENSMUST00000002825	ENSMUSG00000002748	Baz1b
ENSMUST00000002837	ENSMUSG00000063406	Tmed5
ENSMUST00000002839	ENSMUSG00000059409	Ppp2r5d
ENSMUST00000002840	ENSMUSG00000002763	Pex6
ENSMUST00000002844	ENSMUSG00000002767	Mrpl2
ENSMUST00000002845	ENSMUSG00000002768	Mea1
ENSMUST00000002846	ENSMUSG00000002769	Gnmt
ENSMUST00000002848	ENSMUSG00000002771	Grin2d
ENSMUST00000002850	ENSMUSG00000030834	Abcc6
ENSMUST00000002855	ENSMUSG00000002778	Kdelr1
ENSMUST00000002880	ENSMUSG00000002803	Btbd6
ENSMUST00000002881	ENSMUSG00000002804	Nudt14
ENSMUST00000002883	ENSMUSG00000021319	Sfrp4
ENSMUST00000002885	ENSMUSG00000002808	Epdr1
ENSMUST00000002889	ENSMUSG00000002812	Flii
ENSMUST00000002891	ENSMUSG00000002814	Top3a
ENSMUST00000002902	ENSMUSG00000002825	Qtrt1
ENSMUST00000002908	ENSMUSG00000002831	Plin4
ENSMUST00000002911	ENSMUSG00000002833	Hdgfrp2
ENSMUST00000002914	ENSMUSG00000002835	Chaf1a
ENSMUST00000002923	ENSMUSG00000002844	Adprh
ENSMUST00000002924	ENSMUSG00000002845	Tmem39a
ENSMUST00000002926	ENSMUSG00000002847	Pla1a
ENSMUST00000002964	ENSMUSG00000002885	Cd97
ENSMUST00000002976	ENSMUSG00000002897	Il17ra
ENSMUST00000002979	ENSMUSG00000002900	Lamb1
ENSMUST00000002989	ENSMUSG00000002910	Arrdc2
ENSMUST00000003017	ENSMUSG00000029925	Tbxas1
ENSMUST00000003027	ENSMUSG00000002948	Map2k7
ENSMUST00000003029	ENSMUSG00000002949	Timm44
ENSMUST00000003035	ENSMUSG00000030768	Disp1
ENSMUST00000003038	ENSMUSG00000002957	Ap2a2
ENSMUST00000003044	ENSMUSG00000002963	Pnkp
ENSMUST00000003049	ENSMUSG00000002968	Med25
ENSMUST00000003061	ENSMUSG00000002980	Bcam
ENSMUST00000003066	ENSMUSG00000002985	Apoe
ENSMUST00000003071	ENSMUSG00000074336	Apoc4
ENSMUST00000003079	ENSMUSG00000002997	Prkar2b
ENSMUST00000003100	ENSMUSG00000052974	Cyp2f2
ENSMUST00000003115	ENSMUSG00000003031	Cdkn1b
ENSMUST00000003117	ENSMUSG00000003033	Ap1m1
ENSMUST00000003123	ENSMUSG00000003039	Fam32a
ENSMUST00000003135	ENSMUSG00000003051	Elf3
ENSMUST00000003137	ENSMUSG00000003053	Cyp2c29
ENSMUST00000003154	ENSMUSG00000003070	Efna2
ENSMUST00000003156	ENSMUSG00000003072	Atp5d
ENSMUST00000003183	ENSMUSG00000003099	Ppp5c
ENSMUST00000003191	ENSMUSG00000024070	Prkd3
ENSMUST00000003203	ENSMUSG00000003119	Cdk12
ENSMUST00000003207	ENSMUSG00000003123	LOC101055998
ENSMUST00000003219	ENSMUSG00000003135	Cnot11
ENSMUST00000003238	ENSMUSG00000003154	Foxj2
ENSMUST00000003245	ENSMUSG00000003161	Sri
ENSMUST00000003268	ENSMUSG00000003200	Sh3gl1
ENSMUST00000003274	ENSMUSG00000003206	Ebi3
ENSMUST00000003284	ENSMUSG00000003184	Irf3
ENSMUST00000003290	ENSMUSG00000003190	Bcl2l12
ENSMUST00000003310	ENSMUSG00000003226	Ranbp2
ENSMUST00000003312	ENSMUSG00000003227	Edar
ENSMUST00000003313	ENSMUSG00000003228	Grk5
ENSMUST00000003319	ENSMUSG00000003234	Abcf3
ENSMUST00000003320	ENSMUSG00000003235	Eif2b5
ENSMUST00000003345	ENSMUSG00000021314	Amph
ENSMUST00000003351	ENSMUSG00000020734	Grin2c
ENSMUST00000003360	ENSMUSG00000003273	Car11
ENSMUST00000003369	ENSMUSG00000003282	Plag1
ENSMUST00000003370	ENSMUSG00000003283	Hck
ENSMUST00000003386	ENSMUSG00000003299	Mrpl4
ENSMUST00000003395	ENSMUSG00000032177	Pde4a
ENSMUST00000003397	ENSMUSG00000003309	Ap1m2
ENSMUST00000003404	ENSMUSG00000003316	Glg1
ENSMUST00000003416	ENSMUSG00000048440	Cyp4f16
ENSMUST00000003433	ENSMUSG00000020190	Mknk2
ENSMUST00000003434	ENSMUSG00000003344	Btbd2
ENSMUST00000003436	ENSMUSG00000003346	Abhd17a
ENSMUST00000003438	ENSMUSG00000003348	Mob3a
ENSMUST00000003442	ENSMUSG00000003352	Cacnb3
ENSMUST00000003444	ENSMUSG00000003354	Ccdc65
ENSMUST00000003445	ENSMUSG00000003355	Fkbp11
ENSMUST00000003450	ENSMUSG00000003360	Ddx23
ENSMUST00000003451	ENSMUSG00000054855	Rnd1
ENSMUST00000003459	ENSMUSG00000020437	Myo1g
ENSMUST00000003468	ENSMUSG00000003378	Grik5
ENSMUST00000003469	ENSMUSG00000003379	Cd79a
ENSMUST00000003493	ENSMUSG00000003402	Prkcsh
ENSMUST00000003501	ENSMUSG00000003410	Elavl3
ENSMUST00000003502	ENSMUSG00000003411	Rab3b
ENSMUST00000003512	ENSMUSG00000003420	Fcgrt
